Hello World
initializing gdt
initialized gdt
initializing idt
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt
